Entity,Code,Year,Annual greenhouse gas emissions including land use
India,IND,1850,0.018768282
India,IND,1851,0.010313672
India,IND,1852,0.006091703
India,IND,1853,0.004271527
India,IND,1854,0.003129539
India,IND,1855,0.002042469
India,IND,1856,0.001278713
India,IND,1857,0.001242987
India,IND,1858,0.00069462
India,IND,1859,0.000272978
India,IND,1860,0.000490079
India,IND,1861,0.000190606
India,IND,1862,0
India,IND,1863,0.000304032
India,IND,1864,0.00022833
India,IND,1865,0.00026488
India,IND,1866,0.000703121
India,IND,1867,0.001075978
India,IND,1868,0.000663523
India,IND,1869,0.000994991
India,IND,1870,0.001473259
India,IND,1871,0.001439607
India,IND,1872,0.002294443
India,IND,1873,0.002595319
India,IND,1874,0.003176003
India,IND,1875,0.003737418
India,IND,1876,0.00457094
India,IND,1877,0.004837873
India,IND,1878,0.005880028
India,IND,1879,0.006203917
India,IND,1880,0.007015406
India,IND,1881,0.007813462
India,IND,1882,0.009151172
India,IND,1883,0.009701497
India,IND,1884,0.010514031
India,IND,1885,0.011188323
India,IND,1886,0.012077706
India,IND,1887,0.012849837
India,IND,1888,0.013735326
India,IND,1889,0.014574786
India,IND,1890,0.015644934
India,IND,1891,0.015941493
India,IND,1892,0.0161233
India,IND,1893,0.016390458
India,IND,1894,0.016473504
India,IND,1895,0.017300966
India,IND,1896,0.017612079
India,IND,1897,0.018128964
India,IND,1898,0.018670114
India,IND,1899,0.018999364
India,IND,1900,0.019354116
India,IND,1901,0.018887321
India,IND,1902,0.019022701
India,IND,1903,0.018857427
India,IND,1904,0.019050657
India,IND,1905,0.0189519
India,IND,1906,0.019193403
India,IND,1907,0.019535877
India,IND,1908,0.020109045
India,IND,1909,0.019689309
India,IND,1910,0.020059003
India,IND,1911,0.020834517
India,IND,1912,0.021879247
India,IND,1913,0.023214714
India,IND,1914,0.023267394
India,IND,1915,0.024007858
India,IND,1916,0.024523436
India,IND,1917,0.02578497
India,IND,1918,0.026725906
India,IND,1919,0.028007813
India,IND,1920,0.044800673
India,IND,1921,0.054655073
India,IND,1922,0.060485967
India,IND,1923,0.06404186
India,IND,1924,0.067687396
India,IND,1925,0.070561658
India,IND,1926,0.072443333
India,IND,1927,0.075256676
India,IND,1928,0.076337135
India,IND,1929,0.079133803
India,IND,1930,0.081547897
India,IND,1931,0.081881139
India,IND,1932,0.082719211
India,IND,1933,0.085264677
India,IND,1934,0.087699298
India,IND,1935,0.089614076
India,IND,1936,0.091448376
India,IND,1937,0.09496595
India,IND,1938,0.098299765
India,IND,1939,0.099892249
India,IND,1940,0.102973618
India,IND,1941,0.10470621
India,IND,1942,0.106748916
India,IND,1943,0.106776831
India,IND,1944,0.109755241
India,IND,1945,0.112591891
India,IND,1946,0.113839351
India,IND,1947,0.114867242
India,IND,1948,0.116191464
India,IND,1949,0.118687014
India,IND,1950,0.135953685
India,IND,1951,0.144368132
India,IND,1952,0.150720578
India,IND,1953,0.154889877
India,IND,1954,0.160379543
India,IND,1955,0.165722447
India,IND,1956,0.170968368
India,IND,1957,0.177019844
India,IND,1958,0.181936931
India,IND,1959,0.187976745
India,IND,1960,0.155986041
India,IND,1961,0.183980348
India,IND,1962,0.154692934
India,IND,1963,0.151782116
India,IND,1964,0.151742415
India,IND,1965,0.152236384
India,IND,1966,0.167106826
India,IND,1967,0.170475451
India,IND,1968,0.157766599
India,IND,1969,0.164807789
India,IND,1970,0.153012616
India,IND,1971,0.163821373
India,IND,1972,0.186337935
India,IND,1973,0.185444616
India,IND,1974,0.184142049
India,IND,1975,0.186014961
India,IND,1976,0.182581946
India,IND,1977,0.216103793
India,IND,1978,0.204084885
India,IND,1979,0.1982489
India,IND,1980,0.206285664
India,IND,1981,0.222455533
India,IND,1982,0.216768132
India,IND,1983,0.252575873
India,IND,1984,0.242407878
India,IND,1985,0.249572035
India,IND,1986,0.268498118
India,IND,1987,0.266398699
India,IND,1988,0.296668758
India,IND,1989,0.306823433
India,IND,1990,0.309931607
India,IND,1991,0.318638083
India,IND,1992,0.336678391
India,IND,1993,0.338028913
India,IND,1994,0.347488121
India,IND,1995,0.35677425
India,IND,1996,0.383268592
India,IND,1997,0.386721536
India,IND,1998,0.39290113
India,IND,1999,0.414030718
India,IND,2000,0.430758999
India,IND,2001,0.429343342
India,IND,2002,0.427772088
India,IND,2003,0.444298154
India,IND,2004,0.461867433
India,IND,2005,0.481092728
India,IND,2006,0.511157973
India,IND,2007,0.551792617
India,IND,2008,0.591059382
India,IND,2009,0.615458038
India,IND,2010,0.643227602
India,IND,2011,0.669012048
India,IND,2012,0.722912542
India,IND,2013,0.71301437
India,IND,2014,0.736246556
India,IND,2015,0.754802113
India,IND,2016,0.773618008
India,IND,2017,0.786477815
India,IND,2018,0.83698442
India,IND,2019,0.836177048
India,IND,2020,0.7916343
India,IND,2021,0.857522246
India,IND,2022,0.901007552
India,IND,2023,0.964433953
India,IND,2024,1
