Entity,Code,Year,Annual greenhouse gas emissions including land use
Japan,JPN,1850,0
Japan,JPN,1851,0.000506922
Japan,JPN,1852,0.000565095
Japan,JPN,1853,0.00055807
Japan,JPN,1854,0.000933591
Japan,JPN,1855,0.000575147
Japan,JPN,1856,0.000497562
Japan,JPN,1857,0.000918945
Japan,JPN,1858,0.001363595
Japan,JPN,1859,0.0011419
Japan,JPN,1860,0.001149863
Japan,JPN,1861,0.001629267
Japan,JPN,1862,0.00168351
Japan,JPN,1863,0.001801532
Japan,JPN,1864,0.001758005
Japan,JPN,1865,0.001986682
Japan,JPN,1866,0.002245961
Japan,JPN,1867,0.001910317
Japan,JPN,1868,0.002154571
Japan,JPN,1869,0.002270503
Japan,JPN,1870,0.002969716
Japan,JPN,1871,0.002970214
Japan,JPN,1872,0.003624201
Japan,JPN,1873,0.004102288
Japan,JPN,1874,0.00467866
Japan,JPN,1875,0.006046553
Japan,JPN,1876,0.006188843
Japan,JPN,1877,0.006622807
Japan,JPN,1878,0.007113186
Japan,JPN,1879,0.008011484
Japan,JPN,1880,0.008467233
Japan,JPN,1881,0.009081883
Japan,JPN,1882,0.009585721
Japan,JPN,1883,0.011385535
Japan,JPN,1884,0.010539164
Japan,JPN,1885,0.011996291
Japan,JPN,1886,0.012489075
Japan,JPN,1887,0.013117305
Japan,JPN,1888,0.014101393
Japan,JPN,1889,0.015623622
Japan,JPN,1890,0.017853194
Japan,JPN,1891,0.019656356
Japan,JPN,1892,0.019833895
Japan,JPN,1893,0.020473692
Japan,JPN,1894,0.024819598
Japan,JPN,1895,0.025489271
Japan,JPN,1896,0.027359756
Japan,JPN,1897,0.028499666
Japan,JPN,1898,0.031217439
Japan,JPN,1899,0.032657028
Japan,JPN,1900,0.035766882
Japan,JPN,1901,0.03937574
Japan,JPN,1902,0.041434178
Japan,JPN,1903,0.042363685
Japan,JPN,1904,0.045335361
Japan,JPN,1905,0.047691433
Japan,JPN,1906,0.050099563
Japan,JPN,1907,0.051694374
Japan,JPN,1908,0.055042504
Japan,JPN,1909,0.057622637
Japan,JPN,1910,0.057903291
Japan,JPN,1911,0.06319703
Japan,JPN,1912,0.068732319
